Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly Salary,Married Filing Separately (Rates/Brackets),,Married Filing Separately Salary,Single Filer (Rates/Brackets),,Single Filer Salary,Head of Household (Rates/Brackets),,Head of Household Salary
2018,12.00%,>,"$19,050 ",12.00%,>,"$9,525 ",12.00%,>,"$9,525 ",12.00%,>,"$13,600 "
2018,22.00%,>,"$77,400 ",22.00%,>,"$38,700 ",22.00%,>,"$38,700 ",22.00%,>,"$51,800 "
2018,24.00%,>,"$165,000 ",24.00%,>,"$82,500 ",24.00%,>,"$82,500 ",24.00%,>,"$82,500 "
2018,32.00%,>,"$315,000 ",32.00%,>,"$157,500 ",32.00%,>,"$157,500 ",32.00%,>,"$157,500 "
2018,35.00%,>,"$400,000 ",35.00%,>,"$200,000 ",35.00%,>,"$200,000 ",35.00%,>,"$200,000 "
2018,37.00%,>,"$600,000 ",37.00%,>,"$300,000 ",37.00%,>,"$500,000 ",37.00%,>,"$500,000 "
,,,,,,,,,,,,
2017,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2017,15.00%,>,"$18,650 ",15.00%,>,"$9,235 ",15.00%,>,"$9,325 ",15.00%,>,"$13,350 "
2017,25.00%,>,"$75,900 ",25.00%,>,"$37,950 ",25.00%,>,"$37,950 ",25.00%,>,"$50,800 "
2017,28.00%,>,"$153,100 ",28.00%,>,"$76,550 ",28.00%,>,"$91,900 ",28.00%,>,"$131,200 "
2017,33.00%,>,"$233,350 ",33.00%,>,"$116,675 ",33.00%,>,"$191,650 ",33.00%,>,"$212,500 "
2017,35.00%,>,"$416,700 ",35.00%,>,"$208,350 ",35.00%,>,"$416,700 ",35.00%,>,"$416,700 "
2017,39.60%,>,"$470,700 ",39.60%,>,"$235,350 ",39.60%,>,"$418,400 ",39.60%,>,"$444,550 "
,,,,,,,,,,,,
2016,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2016,15.00%,>,"$18,550 ",15.00%,>,"$9,275 ",15.00%,>,"$9,275 ",15.00%,>,"$13,250 "
2016,25.00%,>,"$75,300 ",25.00%,>,"$37,650 ",25.00%,>,"$37,650 ",25.00%,>,"$50,400 "
2016,28.00%,>,"$151,900 ",28.00%,>,"$75,950 ",28.00%,>,"$91,150 ",28.00%,>,"$130,150 "
2016,33.00%,>,"$231,450 ",33.00%,>,"$115,725 ",33.00%,>,"$190,150 ",33.00%,>,"$210,800 "
2016,35.00%,>,"$413,350 ",35.00%,>,"$206,675 ",35.00%,>,"$413,450 ",35.00%,>,"$413,350 "
2016,39.60%,>,"$466,950 ",39.60%,>,"$233,475 ",39.60%,>,"$415,050 ",39.60%,>,"$441,000 "
,,,,,,,,,,,,
2015,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2015,15.00%,>,"$18,451 ",15.00%,>,"$9,226 ",15.00%,>,"$9,226 ",15.00%,>,"$13,151 "
2015,25.00%,>,"$74,901 ",25.00%,>,"$37,451 ",25.00%,>,"$37,451 ",25.00%,>,"$50,201 "
2015,28.00%,>,"$151,201 ",28.00%,>,"$75,601 ",28.00%,>,"$90,751 ",28.00%,>,"$129,601 "
2015,33.00%,>,"$230,451 ",33.00%,>,"$115,226 ",33.00%,>,"$189,301 ",33.00%,>,"$209,851 "
2015,35.00%,>,"$411,501 ",35.00%,>,"$205,751 ",35.00%,>,"$411,501 ",35.00%,>,"$411,501 "
2015,39.60%,>,"$464,851 ",39.60%,>,"$232,426 ",39.60%,>,"$413,201 ",39.60%,>,"$439,001 "
,,,,,,,,,,,,
2014,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2014,15.00%,>,"$18,151 ",15.00%,>,"$9,076 ",15.00%,>,"$9,076 ",15.00%,>,"$12,951 "
2014,25.00%,>,"$73,801 ",25.00%,>,"$36,901 ",25.00%,>,"$36,901 ",25.00%,>,"$49,401 "
2014,28.00%,>,"$148,851 ",28.00%,>,"$74,426 ",28.00%,>,"$89,351 ",28.00%,>,"$127,551 "
2014,33.00%,>,"$226,851 ",33.00%,>,"$113,426 ",33.00%,>,"$186,351 ",33.00%,>,"$206,601 "
2014,35.00%,>,"$405,101 ",35.00%,>,"$202,551 ",35.00%,>,"$405,101 ",35.00%,>,"$405,101 "
2014,39.60%,>,"$457,601 ",39.60%,>,"$228,801 ",39.60%,>,"$406,751 ",39.60%,>,"$432,201 "
,,,,,,,,,,,,
2013,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2013,15.00%,>,"$17,850 ",15.00%,>,"$8,925 ",15.00%,>,"$8,925 ",15.00%,>,"$12,750 "
2013,25.00%,>,"$72,500 ",25.00%,>,"$36,250 ",25.00%,>,"$36,250 ",25.00%,>,"$48,600 "
2013,28.00%,>,"$146,400 ",28.00%,>,"$73,200 ",28.00%,>,"$87,850 ",28.00%,>,"$125,450 "
2013,33.00%,>,"$223,050 ",33.00%,>,"$111,525 ",33.00%,>,"$183,250 ",33.00%,>,"$203,150 "
2013,35.00%,>,"$398,350 ",35.00%,>,"$199,175 ",35.00%,>,"$398,350 ",35.00%,>,"$398,350 "
2013,39.60%,>,"$450,000 ",39.60%,>,"$225,000 ",39.60%,>,"$400,000 ",39.60%,>,"$425,000 "
,,,,,,,,,,,,
2012,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2012,15.00%,>,"$17,400 ",15.00%,>,"$8,700 ",15.00%,>,"$8,700 ",15.00%,>,"$12,400 "
2012,25.00%,>,"$70,700 ",25.00%,>,"$35,350 ",25.00%,>,"$35,350 ",25.00%,>,"$47,350 "
2012,28.00%,>,"$142,700 ",28.00%,>,"$71,350 ",28.00%,>,"$85,650 ",28.00%,>,"$122,300 "
2012,33.00%,>,"$217,450 ",33.00%,>,"$108,725 ",33.00%,>,"$178,650 ",33.00%,>,"$198,050 "
2012,35.00%,>,"$388,350 ",35.00%,>,"$194,175 ",35.00%,>,"$388,350 ",35.00%,>,"$388,350 "
,,,,,,,,,,,,
2011,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2011,15.00%,>,"$17,000 ",15.00%,>,"$8,500 ",15.00%,>,"$8,500 ",15.00%,>,"$12,150.00 "
2011,25.00%,>,"$69,000 ",25.00%,>,"$34,500 ",25.00%,>,"$34,500 ",25.00%,>,"$46,250 "
2011,28.00%,>,"$139,350 ",28.00%,>,"$69,675 ",28.00%,>,"$83,600 ",28.00%,>,"$119,400 "
2011,33.00%,>,"$212,300 ",33.00%,>,"$106,150 ",33.00%,>,"$174,400 ",33.00%,>,"$193,350 "
2011,35.00%,>,"$379,150 ",35.00%,>,"$189,575 ",35.00%,>,"$379,150 ",35.00%,>,"$379,150 "
,,,,,,,,,,,,
2010,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2010,15.00%,>,"$16,750 ",15.00%,>,"$8,375 ",15.00%,>,"$8,375 ",15.00%,>,"$11,950 "
2010,25.00%,>,"$68,000 ",25.00%,>,"$34,000 ",25.00%,>,"$34,000 ",25.00%,>,"$45,550 "
2010,28.00%,>,"$137,300 ",28.00%,>,"$68,650 ",28.00%,>,"$82,400 ",28.00%,>,"$117,650 "
2010,33.00%,>,"$209,250 ",33.00%,>,"$104,625 ",33.00%,>,"$171,850 ",33.00%,>,"$190,550 "
2010,35.00%,>,"$373,650 ",35.00%,>,"$186,825 ",35.00%,>,"$373,650 ",35.00%,>,"$373,650 "
,,,,,,,,,,,,
2009,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2009,15.00%,>,"$16,700 ",15.00%,>,"$8,350 ",15.00%,>,"$8,350 ",15.00%,>,"$11,950 "
2009,25.00%,>,"$67,900 ",25.00%,>,"$33,950 ",25.00%,>,"$33,950 ",25.00%,>,"$45,500 "
2009,28.00%,>,"$137,050 ",28.00%,>,"$68,525 ",28.00%,>,"$82,250 ",28.00%,>,"$117,450 "
2009,33.00%,>,"$208,850 ",33.00%,>,"$104,425 ",33.00%,>,"$171,550 ",33.00%,>,"$190,200 "
2009,35.00%,>,"$372,950 ",35.00%,>,"$186,475 ",35.00%,>,"$372,950 ",35.00%,>,"$372,950 "
,,,,,,,,,,,,
2008,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2008,15.00%,>,"$16,050 ",15.00%,>,"$8,025 ",15.00%,>,"$8,025 ",15.00%,>,"$11,450 "
2008,25.00%,>,"$65,100 ",25.00%,>,"$32,550 ",25.00%,>,"$32,550 ",25.00%,>,"$43,650 "
2008,28.00%,>,"$131,450 ",28.00%,>,"$65,725 ",28.00%,>,"$78,850 ",28.00%,>,"$112,650 "
2008,33.00%,>,"$200,300 ",33.00%,>,"$100,150 ",33.00%,>,"$164,550 ",33.00%,>,"$182,400 "
2008,35.00%,>,"$357,700 ",35.00%,>,"$178,850 ",35.00%,>,"$357,700 ",35.00%,>,"$357,700 "
,,,,,,,,,,,,
2007,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2007,15.00%,>,"$15,650 ",15.00%,>,"$7,825 ",15.00%,>,"$7,825 ",15.00%,>,"$11,200 "
2007,25.00%,>,"$63,700 ",25.00%,>,"$31,850 ",25.00%,>,"$31,850 ",25.00%,>,"$42,650 "
2007,28.00%,>,"$128,500 ",28.00%,>,"$64,250 ",28.00%,>,"$77,100 ",28.00%,>,"$110,100 "
2007,33.00%,>,"$195,850 ",33.00%,>,"$97,925 ",33.00%,>,"$160,850 ",33.00%,>,"$178,350 "
2007,35.00%,>,"$349,700 ",35.00%,>,"$174,850 ",35.00%,>,"$349,700 ",35.00%,>,"$349,700 "
,,,,,,,,,,,,
2006,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2006,15.00%,>,"$15,100 ",15.00%,>,"$7,550 ",15.00%,>,"$7,550 ",15.00%,>,"$10,750 "
2006,25.00%,>,"$61,300 ",25.00%,>,"$30,650 ",25.00%,>,"$30,650 ",25.00%,>,"$41,050 "
2006,28.00%,>,"$123,700 ",28.00%,>,"$61,850 ",28.00%,>,"$74,200 ",28.00%,>,"$106,000 "
2006,33.00%,>,"$188,450 ",33.00%,>,"$94,225 ",33.00%,>,"$154,800 ",33.00%,>,"$171,650 "
2006,35.00%,>,"$336,550 ",35.00%,>,"$168,275 ",35.00%,>,"$336,550 ",35.00%,>,"$336,550 "
,,,,,,,,,,,,
2005,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2005,15.00%,>,"$14,600 ",15.00%,>,"$7,300 ",15.00%,>,"$7,300 ",15.00%,>,"$10,450 "
2005,25.00%,>,"$59,400 ",25.00%,>,"$29,700 ",25.00%,>,"$29,700 ",25.00%,>,"$39,800 "
2005,28.00%,>,"$119,950 ",28.00%,>,"$59,975 ",28.00%,>,"$71,950 ",28.00%,>,"$102,800 "
2005,33.00%,>,"$182,800 ",33.00%,>,"$91,400 ",33.00%,>,"$150,150 ",33.00%,>,"$166,450 "
2005,35.00%,>,"$326,450 ",35.00%,>,"$163,225 ",35.00%,>,"$326,450 ",35.00%,>,"$326,450 "
,,,,,,,,,,,,
2004,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2004,15.00%,>,"$14,300 ",15.00%,>,"$7,150 ",15.00%,>,"$7,150 ",15.00%,>,"$10,200 "
2004,25.00%,>,"$58,100 ",25.00%,>,"$29,050 ",25.00%,>,"$29,050 ",25.00%,>,"$38,900 "
2004,28.00%,>,"$117,250 ",28.00%,>,"$58,625 ",28.00%,>,"$70,350 ",28.00%,>,"$100,500 "
2004,33.00%,>,"$178,650 ",33.00%,>,"$89,325 ",33.00%,>,"$146,750 ",33.00%,>,"$162,700 "
2004,35.00%,>,"$319,100 ",35.00%,>,"$159,550 ",35.00%,>,"$319,100 ",35.00%,>,"$319,500 "
,,,,,,,,,,,,
2003,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2003,15.00%,>,"$14,000 ",15.00%,>,"$7,000 ",15.00%,>,"$7,000 ",15.00%,>,"$10,000 "
2003,25.00%,>,"$56,800 ",25.00%,>,"$23,725 ",25.00%,>,"$28,400 ",25.00%,>,"$38,050 "
2003,28.00%,>,"$114,650 ",28.00%,>,"$57,325 ",28.00%,>,"$68,800 ",28.00%,>,"$98,250 "
2003,33.00%,>,"$174,700 ",33.00%,>,"$87,350 ",33.00%,>,"$143,500 ",33.00%,>,"$159,100 "
2003,35.00%,>,"$311,950 ",35.00%,>,"$155,975 ",35.00%,>,"$311,950 ",35.00%,>,"$311,950 "
,,,,,,,,,,,,
2002,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 ,10.00%,>,$0 
2002,15.00%,>,"$12,000 ",15.00%,>,"$6,000 ",15.00%,>,"$6,000 ",15.00%,>,"$10,000 "
2002,27.00%,>,"$46,700 ",27.00%,>,"$23,350 ",27.00%,>,"$27,950 ",27.00%,>,"$37,450 "
2002,30.00%,>,"$112,850 ",30.00%,>,"$56,425 ",30.00%,>,"$67,700 ",30.00%,>,"$96,700 "
2002,35.00%,>,"$171,950 ",35.00%,>,"$85,975 ",35.00%,>,"$141,250 ",35.00%,>,"$156,600 "
2002,38.60%,>,"$307,050 ",38.60%,>,"$153,525 ",38.60%,>,"$307,050 ",38.60%,>,"$307,050 "
,,,,,,,,,,,,
2001,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
2001,27.50%,>,"$45,200 ",27.50%,>,"$22,600 ",27.50%,>,"$27,050 ",27.50%,>,"$36,250 "
2001,30.50%,>,"$109,250 ",30.50%,>,"$54,625 ",30.50%,>,"$65,550 ",30.50%,>,"$93,650 "
2001,35.50%,>,"$166,500 ",35.50%,>,"$83,250 ",35.50%,>,"$136,750 ",35.50%,>,"$151,650 "
2001,39.10%,>,"$297,350 ",39.10%,>,"$148,675 ",39.10%,>,"$297,350 ",39.10%,>,"$297,350 "
,,,,,,,,,,,,
2000,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
2000,28.00%,>,"$43,850 ",28.00%,>,"$21,925 ",28.00%,>,"$26,250 ",28.00%,>,"$35,150 "
2000,31.00%,>,"$105,950 ",31.00%,>,"$52,975 ",31.00%,>,"$63,550 ",31.00%,>,"$90,800 "
2000,36.00%,>,"$161,450 ",36.00%,>,"$80,725 ",36.00%,>,"$132,600 ",36.00%,>,"$147,050 "
2000,39.60%,>,"$288,350 ",39.60%,>,"$144,175 ",39.60%,>,"$288,350 ",39.60%,>,"$288,350 "
,,,,,,,,,,,,
1999,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1999,28.00%,>,"$43,050 ",28.00%,>,"$21,525 ",28.00%,>,"$25,750 ",28.00%,>,"$34,550 "
1999,31.00%,>,"$104,050 ",31.00%,>,"$52,025 ",31.00%,>,"$62,450 ",31.00%,>,"$89,150 "
1999,36.00%,>,"$158,550 ",36.00%,>,"$79,275 ",36.00%,>,"$130,250 ",36.00%,>,"$144,400 "
1999,39.60%,>,"$283,150 ",39.60%,>,"$141,575 ",39.60%,>,"$283,150 ",39.60%,>,"$283,150 "
,,,,,,,,,,,,
1998,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1998,28.00%,>,"$42,350 ",28.00%,>,"$21,175 ",28.00%,>,"$25,350 ",28.00%,>,"$33,950 "
1998,31.00%,>,"$102,300 ",31.00%,>,"$51,150 ",31.00%,>,"$61,400 ",31.00%,>,"$87,700 "
1998,36.00%,>,"$155,950 ",36.00%,>,"$77,975 ",36.00%,>,"$128,100 ",36.00%,>,"$142,000 "
1998,39.60%,>,"$278,450 ",39.60%,>,"$139,225 ",39.60%,>,"$278,450 ",39.60%,>,"$278,450 "
,,,,,,,,,,,,
1997,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1997,28.00%,>,"$41,200 ",28.00%,>,"$20,600 ",28.00%,>,"$24,650 ",28.00%,>,"$33,050 "
1997,31.00%,>,"$99,600 ",31.00%,>,"$49,800 ",31.00%,>,"$59,750 ",31.00%,>,"$85,350 "
1997,36.00%,>,"$151,750 ",36.00%,>,"$75,875 ",36.00%,>,"$124,650 ",36.00%,>,"$138,200 "
1997,39.60%,>,"$271,050 ",39.60%,>,"$135,525 ",39.60%,>,"$271,050 ",39.60%,>,"$271,050 "
,,,,,,,,,,,,
1996,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1996,28.00%,>,"$40,100 ",28.00%,>,"$20,050 ",28.00%,>,"$24,000 ",28.00%,>,"$32,150 "
1996,31.00%,>,"$96,900 ",31.00%,>,"$48,450 ",31.00%,>,"$58,150 ",31.00%,>,"$83,050 "
1996,36.00%,>,"$147,700 ",36.00%,>,"$73,850 ",36.00%,>,"$121,300 ",36.00%,>,"$134,500 "
1996,39.60%,>,"$263,750 ",39.60%,>,"$131,875 ",39.60%,>,"$263,750 ",39.60%,>,"$263,750 "
,,,,,,,,,,,,
1995,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1995,28.00%,>,"$39,000 ",28.00%,>,"$19,500 ",28.00%,>,"$23,350 ",28.00%,>,"$31,250 "
1995,31.00%,>,"$94,250 ",31.00%,>,"$47,125 ",31.00%,>,"$56,550 ",31.00%,>,"$80,750 "
1995,36.00%,>,"$143,600 ",36.00%,>,"$71,800 ",36.00%,>,"$117,950 ",36.00%,>,"$130,800 "
1995,39.60%,>,"$256,500 ",39.60%,>,"$128,250 ",39.60%,>,"$256,500 ",39.60%,>,"$256,500 "
,,,,,,,,,,,,
1994,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1994,28.00%,>,"$38,000 ",28.00%,>,"$19,000 ",28.00%,>,"$22,750 ",28.00%,>,"$30,500 "
1994,31.00%,>,"$91,850 ",31.00%,>,"$45,925 ",31.00%,>,"$55,100 ",31.00%,>,"$78,700 "
1994,36.00%,>,"$140,000 ",36.00%,>,"$70,000 ",36.00%,>,"$115,000 ",36.00%,>,"$127,500 "
1994,39.60%,>,"$250,000 ",39.60%,>,"$125,000 ",39.60%,>,"$250,000 ",39.60%,>,"$250,000 "
,,,,,,,,,,,,
1993,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1993,28.00%,>,"$36,900 ",28.00%,>,"$18,450 ",28.00%,>,"$22,100 ",28.00%,>,"$29,600 "
1993,31.00%,>,"$89,150 ",31.00%,>,"$44,575 ",31.00%,>,"$53,500 ",31.00%,>,"$76,400 "
1993,36.00%,>,"$140,000 ",36.00%,>,"$70,000 ",36.00%,>,"$115,000 ",36.00%,>,"$127,500 "
1993,39.60%,>,"$250,000 ",39.60%,>,"$125,000 ",39.60%,>,"$250,000 ",39.60%,>,"$250,000 "
,,,,,,,,,,,,
1992,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1992,28.00%,>,"$35,800 ",28.00%,>,"$17,900 ",28.00%,>,"$21,450 ",28.00%,>,"$28,750 "
1992,31.00%,>,"$86,500 ",31.00%,>,"$43,250 ",31.00%,>,"$51,900 ",31.00%,>,"$74,150 "
,,,,,,,,,,,,
1991,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1991,28.00%,>,"$34,000 ",28.00%,>,"$17,000 ",28.00%,>,"$20,350 ",28.00%,>,"$27,300 "
1991,31.00%,>,"$82,150 ",31.00%,>,"$41,075 ",31.00%,>,"$49,300 ",31.00%,>,"$70,450 "
,,,,,,,,,,,,
1990,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1990,28.00%,>,"$32,450 ",28.00%,>,"$16,225 ",28.00%,>,"$19,450 ",28.00%,>,"$26,050 "
,,,,,,,,,,,,
1989,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1989,28.00%,>,"$30,950 ",28.00%,>,"$15,475 ",28.00%,>,"$18,550 ",28.00%,>,"$24,850 "
,,,,,,,,,,,,
1988,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 ,15.00%,>,$0 
1988,28.00%,>,"$29,750 ",28.00%,>,"$14,875 ",28.00%,>,"$17,850 ",28.00%,>,"$23,900 "
,,,,,,,,,,,,
1987,11.00%,>,$0 ,11.00%,>,$0 ,11.00%,>,$0 ,11.00%,>,$0 
1987,15.00%,>,"$3,000 ",15.00%,>,"$1,500 ",15.00%,>,"$1,800 ",15.00%,>,"$2,500 "
1987,28.00%,>,"$28,000 ",28.00%,>,"$14,000 ",28.00%,>,"$16,800 ",28.00%,>,"$23,000 "
1987,35.00%,>,"$45,000 ",35.00%,>,"$22,500 ",35.00%,>,"$27,000 ",35.00%,>,"$38,000 "
1987,38.50%,>,"$90,000 ",38.50%,>,"$45,000 ",38.50%,>,"$54,000 ",38.50%,>,"$80,000 "
,,,,,,,,,,,,
1986,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 ,0.00%,>,$0 
1986,11.00%,>,"$3,670 ",11.00%,>,"$1,835 ",11.00%,>,"$2,480 ",11.00%,>,"$2,480 "
1986,12.00%,>,"$5,940 ",12.00%,>,"$2,970 ",12.00%,>,"$3,670 ",12.00%,>,"$4,750 "
1986,14.00%,>,"$8,200 ",14.00%,>,"$4,100 ",14.00%,>,"$4,750 ",14.00%,>,"$7,010 "
1986,16.00%,>,"$12,840 ",16.00%,>,"$6,420 ",15.00%,>,"$7,010 ",17.00%,>,"$9,390 "
1986,18.00%,>,"$17,270 ",18.00%,>,"$8,635 ",16.00%,>,"$9,170 ",18.00%,>,"$12,730 "
1986,22.00%,>,"$21,800 ",22.00%,>,"$10,900 ",18.00%,>,"$11,650 ",20.00%,>,"$16,190 "
1986,25.00%,>,"$26,550 ",25.00%,>,"$13,275 ",20.00%,>,"$13,920 ",24.00%,>,"$19,640 "
1986,28.00%,>,"$32,270 ",28.00%,>,"$16,135 ",23.00%,>,"$16,190 ",28.00%,>,"$25,360 "
1986,33.00%,>,"$37,980 ",33.00%,>,"$18,990 ",26.00%,>,"$19,640 ",32.00%,>,"$31,080 "
1986,38.00%,>,"$49,420 ",38.00%,>,"$24,710 ",30.00%,>,"$25,360 ",35.00%,>,"$36,800 "
1986,42.00%,>,"$64,750 ",42.00%,>,"$32,375 ",34.00%,>,"$31,080 ",42.00%,>,"$48,240 "
1986,45.00%,>,"$92,370 ",45.00%,>,"$46,185 ",38.00%,>,"$36,800 ",45.00%,>,"$65,390 "
